id,language,text,label,scam_type,split
MR-B004,Marathi,"Person A: शाळेतून फोन आला की मुलाची तब्येत ठीक नाही, मला आत्ताच जावं लागेल.",BENIGN,BENIGN,train
EN-S014,English,Caller: I'm speaking from the bank's fraud investigation unit. A case file has been opened linked to your account.,SCAM,AUTHORITY_IMPERSONATION,test
HI-S013,Hindi,Caller: मैं पुलिस स्टेशन से इंस्पेक्टर बोल रहा हूं। आपके आधार नंबर का इस्तेमाल एक अवैध गतिविधि में हुआ है।,SCAM,AUTHORITY_IMPERSONATION,validation
EN-S013,English,"Caller: This is regarding a customs matter. A parcel sent under your name has been held for inspection.
Person A: I haven't sent any parcel.
Caller: That will become clear once we complete the checks.",SCAM,AUTHORITY_IMPERSONATION,validation
HI-B009,Hindi,"Person A: बारिश हो रही है, आज छाता लेकर निकलना।",BENIGN,BENIGN,train
CS-B009,Code-switched,"Person A: Maine khana bana liya hai, tu kab tak aayega?",BENIGN,BENIGN,train
EN-B011,English,"Person A: The parcel is arriving today, let me know once it comes.",BENIGN,BENIGN,train
MR-B011,Marathi,"Person A: उद्याचा क्लास कॅन्सल झाला आहे, हे ऐकून बरं वाटलं.",BENIGN,BENIGN,train
MR-S012,Marathi,"Caller: दंड भरल्यानंतरच हे प्रकरण बंद होईल, कृपया दिलेल्या नंबरवर त्वरित पेमेंट करा.",SCAM,FINANCIAL_REQUEST,validation
MR-B009,Marathi,"Person A: मी जेवण बनवलं आहे, तू कधीपर्यंत येशील?",BENIGN,BENIGN,train
EN-B005,English,Person A: The bank called just to remind me that my loan EMI due date is approaching.,BENIGN,BENIGN,train
MR-B015,Marathi,"Person A: पाऊस पडत आहे, आज छत्री घेऊन निघ.",BENIGN,BENIGN,test
CS-S016,Code-switched,"Caller: Sir tumcha ek parcel customs madhe hold zala aahe, illegal item sapadla asa report aala aahe.
Person A: Maine kuch bheja hi nahi.
Caller: Ho tech verification made clear karu.",SCAM,AUTHORITY_IMPERSONATION,test
HI-B003,Hindi,"Person A: डॉक्टर के क्लिनिक से कॉल आया था, अपॉइंटमेंट 20 मिनट में है, जल्दी निकलना होगा।
Person B: ठीक है, मैं अभी गाड़ी निकालता हूं।",BENIGN,BENIGN,train
EN-S004,English,"Caller: Until we resolve this matter, please keep this conversation private.",SCAM,SECRECY_DEMAND,train
EN-B013,English,"Person A: My phone isn't charged, so I might reply a bit late.",BENIGN,BENIGN,validation
EN-S011,English,"Caller: This concerns the Income Tax department. A suspicious transaction has been flagged against your PAN.
Person A: I have no idea what this is about.
Caller: That is exactly what this verification will clarify.",SCAM,AUTHORITY_IMPERSONATION,train
MR-B007,Marathi,"Person A: डिलिव्हरी बॉय OTP विचारत आहे जेणेकरून पार्सलची डिलिव्हरी कन्फर्म होईल, हे नॉर्मलच आहे ना?",BENIGN,BENIGN,train
MR-S001,Marathi,Caller: पुढील 30 मिनिटांत पडताळणी झाली नाही तर तुमचे सिम कार्ड बंद केले जाईल.,SCAM,URGENCY_THREAT,train
CS-B011,Code-switched,"Person A: Delivery wala OTP maang raha hai parcel confirm karne ke liye, yeh normal hi hai na?",BENIGN,BENIGN,train
HI-B012,Hindi,"Person A: कॉलेज का असाइनमेंट कल जमा करना है, अभी तक पूरा नहीं हुआ।",BENIGN,BENIGN,validation
HI-B016,Hindi,"Person A: मुझे थोड़ा भूख लगी है, कुछ ऑर्डर कर देते हैं क्या?",BENIGN,BENIGN,test
HI-S011,Hindi,"Caller: कृपया अपने फोन पर आया OTP मुझे बताइए ताकि हम वेरिफिकेशन पूरा कर सकें।
Person A: लेकिन OTP तो गोपनीय होता है ना?
Caller: यह सिर्फ हमारे सिस्टम के लिए है, चिंता मत कीजिए।",SCAM,FINANCIAL_REQUEST,train
CS-B004,Code-switched,"Person A: Kal cha class cancel झाला aahे, हे ऐकून बरं vatlं.",BENIGN,BENIGN,train
HI-S008,Hindi,"Caller: यह मामला आज ही बंद हो सकता है, वरना कल से आपका बैंक खाता फ्रीज हो जाएगा।",SCAM,URGENCY_THREAT,train
MR-S015,Marathi,"Caller: हे प्रकरण आजच बंद होऊ शकते, नाहीतर उद्यापासून तुमचे बँक खाते गोठवले जाईल.",SCAM,URGENCY_THREAT,test
EN-S008,English,"Caller: This inquiry is strictly confidential, please do not mention it to anyone in your family.",SCAM,SECRECY_DEMAND,train
EN-S015,English,Caller: This is Inspector speaking from the local police station. Your Aadhaar number has been linked to an illegal activity.,SCAM,AUTHORITY_IMPERSONATION,test
EN-B007,English,"Person A: Tomorrow's class got cancelled, that's a relief.",BENIGN,BENIGN,train
HI-S003,Hindi,Caller: अगर अगले 30 मिनट में सत्यापन नहीं हुआ तो आपका सिम कार्ड बंद कर दिया जाएगा।,SCAM,URGENCY_THREAT,train
CS-S015,Code-switched,"Caller: Fine bharल्यानंतरच हे case band होईल, please dilelya number var turant payment kara.",SCAM,FINANCIAL_REQUEST,test
EN-S010,English,"Caller: To process your refund, I'll need your card number and CVV.",SCAM,FINANCIAL_REQUEST,train
CS-B008,Code-switched,"Person A: Barish ho rahi hai, aaj chhata leke nikalna.",BENIGN,BENIGN,train
EN-B002,English,"Person A: I called the bank myself to block my card, they said the process will take a few minutes to complete.",BENIGN,BENIGN,train
CS-B006,Code-switched,"Person A: Maine khud bank ko call kiya tha card block karne ke liye, unhone kaha process complete hone mein kuch minute lagenge.",BENIGN,BENIGN,train
HI-B006,Hindi,"Person A: बैंक से कॉल आया था कि लोन की EMI की तारीख नजदीक है, बस याद दिलाने के लिए।",BENIGN,BENIGN,train
EN-B004,English,"Person A: It's raining, carry an umbrella when you leave today.",BENIGN,BENIGN,train
EN-S016,English,"Caller: Please don't disconnect the call, and don't inform your bank branch either, or it will affect the investigation.
Person A: Can I at least tell my husband?
Caller: No, this needs to remain completely confidential.",SCAM,SECRECY_DEMAND,test
MR-S004,Marathi,Caller: तुमचे खाते पुन्हा सक्रिय करण्यासाठी एक छोटी प्रोसेसिंग फी यूपीआयद्वारे पाठवावी लागेल.,SCAM,FINANCIAL_REQUEST,train
MR-S010,Marathi,Caller: जोपर्यंत हे प्रकरण सुटत नाही तोपर्यंत हे संभाषण गुप्त ठेवा.,SCAM,SECRECY_DEMAND,train
HI-B014,Hindi,"Person A: मैं बाजार जा रहा हूं, कुछ मंगवाना है क्या?",BENIGN,BENIGN,test
MR-B012,Marathi,"Person A: कॉलेजचा असाइनमेंट उद्या जमा करायचा आहे, अजून पूर्ण झालेला नाही.",BENIGN,BENIGN,validation
MR-B002,Marathi,"Person A: बँकेतून फोन आला होता की लोनच्या EMI ची तारीख जवळ आली आहे, फक्त आठवण करून देण्यासाठी.",BENIGN,BENIGN,train
EN-S007,English,"Caller: Please tell me the OTP that just arrived on your phone so we can complete the verification.
Person A: But isn't the OTP supposed to be confidential?
Caller: This one is only for our internal system, don't worry.",SCAM,FINANCIAL_REQUEST,train
MR-B001,Marathi,"Person A: माझा फोन चार्ज नाही, त्यामुळे थोडं उशिरा उत्तर देईन.",BENIGN,BENIGN,train
HI-S014,Hindi,"Caller: जब तक हम यह मामला सुलझा नहीं लेते, इस बातचीत को गुप्त रखिए।",SCAM,SECRECY_DEMAND,test
MR-B014,Marathi,"Person A: मी स्वतः बँकेला फोन केला होता कार्ड ब्लॉक करण्यासाठी, त्यांनी सांगितलं प्रक्रिया पूर्ण व्हायला काही मिनिटे लागतील.",BENIGN,BENIGN,test
MR-S007,Marathi,Caller: रिफंड प्रक्रिया करण्यासाठी तुम्हाला तुमचा कार्ड नंबर आणि सीव्हीव्ही सांगावा लागेल.,SCAM,FINANCIAL_REQUEST,train
HI-B001,Hindi,"Person A: कल की क्लास कैंसिल हो गई है, यह सुनकर अच्छा लगा।",BENIGN,BENIGN,train
EN-S002,English,"Caller: If we don't hear back by this evening, your electricity connection will be disconnected.",SCAM,URGENCY_THREAT,train
EN-B012,English,"Person A: The clinic called, the appointment is in 20 minutes, we need to leave quickly.
Person B: Okay, I'll get the car out right now.",BENIGN,BENIGN,validation
EN-B016,English,Person A: Should we go somewhere this weekend?,BENIGN,BENIGN,test
HI-S001,Hindi,Caller: आज शाम तक अगर जवाब नहीं मिला तो आपका बिजली कनेक्शन काट दिया जाएगा।,SCAM,URGENCY_THREAT,train
CS-S011,Code-switched,"Caller: Main police station se Inspector bol raha hoon, tumcha Aadhaar number ek illegal activity madhe use zala aahe.",SCAM,AUTHORITY_IMPERSONATION,train
MR-S005,Marathi,Caller: मी बँकेच्या फ्रॉड विभागातून बोलतोय. तुमच्या खात्याशी संबंधित एक केस फाईल उघडली गेली आहे.,SCAM,AUTHORITY_IMPERSONATION,train
CS-S008,Code-switched,Caller: Refund process karnyasathi tumhala tumcha card number ani CVV sangava lagel.,SCAM,FINANCIAL_REQUEST,train
EN-S006,English,"Caller: This matter can be closed today itself, otherwise your bank account will be frozen starting tomorrow.",SCAM,URGENCY_THREAT,train
CS-B003,Code-switched,"Person A: Bank se call aaya tha loan ki EMI ki date paas aa rahi hai, bas remind karne ke liye.",BENIGN,BENIGN,train
EN-S012,English,"Caller: If verification isn't completed in the next 30 minutes, your SIM card will be deactivated.",SCAM,URGENCY_THREAT,validation
MR-B003,Marathi,"Person A: डॉक्टरांच्या क्लिनिकमधून फोन आला होता, अपॉइंटमेंट 20 मिनिटांत आहे, लवकर निघावं लागेल.
Person B: ठीक आहे, मी लगेच गाडी काढतो.",BENIGN,BENIGN,train
EN-B003,English,Person A: What time is tomorrow's meeting? Just remind me.,BENIGN,BENIGN,train
EN-S003,English,"Caller: I am calling from the Cyber Crime Cell. A complaint has been registered under your name, so you need to cooperate with this inquiry.",SCAM,AUTHORITY_IMPERSONATION,train
EN-B001,English,Person A: The college assignment is due tomorrow and I haven't finished it yet.,BENIGN,BENIGN,train
HI-B005,Hindi,"Person A: डिलीवरी वाला OTP मांग रहा है ताकि पार्सल की डिलीवरी कन्फर्म हो सके, यह तो नॉर्मल है ना?",BENIGN,BENIGN,train
CS-B001,Code-switched,"Person A: Main market ja raha hoon, kuch mangwana hai kya?",BENIGN,BENIGN,train
HI-S015,Hindi,"Caller: मैं साइबर क्राइम सेल से बोल रहा हूं। आपके नाम पर एक शिकायत दर्ज हुई है, इसलिए आपको जांच में सहयोग करना होगा।",SCAM,AUTHORITY_IMPERSONATION,test
MR-B013,Marathi,"Person A: ट्रेन उशिरा झाली आहे, मला पुढची ट्रेन पकडावी लागेल.",BENIGN,BENIGN,validation
CS-B014,Code-switched,"Person A: Mera phone charge nahi hai, isliye thodi der se reply karunga.",BENIGN,BENIGN,test
HI-S002,Hindi,"Caller: यह जांच पूरी तरह गोपनीय है, कृपया इसके बारे में परिवार में किसी को न बताएं।",SCAM,SECRECY_DEMAND,train
EN-B015,English,"Person A: I'm heading to the market, do you need anything?",BENIGN,BENIGN,test
HI-B007,Hindi,Person A: वीकेंड पर कहीं घूमने चलते हैं क्या?,BENIGN,BENIGN,train
EN-S001,English,"Caller: To reactivate your account, a small processing fee needs to be sent via UPI.",SCAM,FINANCIAL_REQUEST,train
HI-B004,Hindi,"Person A: कल की मीटिंग किस समय है, जरा याद दिला देना।",BENIGN,BENIGN,train
CS-S012,Code-switched,"Caller: Yeh case aajach band ho sakta hai, warna kaal se tumcha bank account freeze ho jayega.",SCAM,URGENCY_THREAT,validation
CS-B012,Code-switched,"Person A: School se phone aaya ki bachche ki tabiyat thik nahi hai, mujhe abhi jana hoga.",BENIGN,BENIGN,validation
CS-S001,Code-switched,"Caller: Main bank ke fraud department se bol raha hoon sir, aapke account se related ek case file open hui hai.",SCAM,AUTHORITY_IMPERSONATION,train
CS-S002,Code-switched,"Caller: Please call disconnect mat kijiye, aur bank branch ko bhi mat batana, warna investigation affect hoga.
Person A: Mi mazya navऱ्याला sangू shakte ka?
Caller: Nahi, hे purnapane guपत thevणे garजेचे aahe.",SCAM,SECRECY_DEMAND,train
HI-S009,Hindi,"Caller: यह इनकम टैक्स विभाग से संबंधित मामला है। आपके पैन कार्ड पर संदिग्ध लेनदेन पाया गया है।
Person A: मुझे इसकी जानकारी नहीं है, यह कैसे हुआ?
Caller: यही जांचने के लिए आपको इस कॉल पर बने रहना होगा।",SCAM,AUTHORITY_IMPERSONATION,train
HI-B013,Hindi,"Person A: ट्रेन लेट हो गई है, मुझे अगली ट्रेन पकड़नी पड़ेगी।",BENIGN,BENIGN,validation
CS-S007,Code-switched,"Caller: Jab tak yeh matter solve nahi hota, is baatcheet ko private rakhiye.",SCAM,SECRECY_DEMAND,train
MR-B008,Marathi,"Person A: पार्सल आज पोहोचणार आहे, आल्यावर मला सांग.",BENIGN,BENIGN,train
EN-B006,English,"Person A: The delivery person is asking for the OTP to confirm the parcel delivery, that's normal right?",BENIGN,BENIGN,train
EN-S009,English,"Caller: An arrest warrant is about to be issued in your name. To stop this, you must join the inquiry immediately.
Person A: This is really frightening, what should I do?
Caller: Don't panic, just stay on the call.",SCAM,URGENCY_THREAT,train
